Electrical_Length,Resistance,Reactance,Directivity
0.1,2,-2100,1.76
0.2,8,-1000,1.76
0.3,18,-480,1.77
0.4,36,-200,1.85
0.485,73,0,2.15
0.5,73,42.5,2.15
0.6,120,220,2.3
0.7,200,500,2.6
0.8,450,850,3
0.9,1200,1000,3.5
1,inf,inf,na
1.1,1500,-1200,4.1
1.2,400,-900,4.8
1.25,200,-750,5.2
1.3,150,-550,4.5
1.4,110,-250,3.8
1.48,105,0,3.6
1.5,105,50,3.5
1.6,115,250,3.7
1.7,140,500,4.1
1.8,200,800,4.6
1.9,400,1200,5
2,inf,inf,na
2.1,1000,-1500,5.4
2.2,400,-1000,5.8
2.3,200,-700,6
2.4,150,-400,5.5
2.47,130,0,5.2
2.5,130,50,5.1
2.6,135,300,5.3
2.7,150,550,5.6
2.8,200,850,6
2.9,300,1200,6.3
3,inf,inf,na
